老朽	老而 衰败 老朽 以终
概念	总括 ～～ 述 貌 梗 ～～ 算 括 念 对象 本质属性 思维 形式 率 概率论 基本概念 随机 事件 发生 可能性 大小 量 称为 事件 概率 称 或然率 几率 以偏 全
木刻水印	NONE
晓之以理	道理 说服
多劳多得	分配原则 劳动 受益 劳动 食
四舍五入	小数点 数字 四舍五入 舍去 头 一位 数字 小于 五则 舍去 大于 等于 五则 保留 一位 数字 加
求同求异	NONE
养生之道	指 修养 身心 保健 延年 方法
以水救水	引水 救 水灾 水势 越盛 比喻 制止 助长 其势
烧制	火烧 方法 制造 陶器 窑 里 烧
断垄	条播 作物 垄中 地段 缺苗 现象
诉诸武力	指用 战争 解决 冲突
攸关	NONE
裙带关系	裙带 比喻 妻女 姊妹 亲属 指 相互 勾结 攀援 妇女 姻亲 关系
性关系	指 性交
连带关系	NONE
社会关系	活动 过程 中 彼此间 结成 生产关系 基础 相互 关系 总称 包括 物质 关系 思想 关系
组织关系	NONE
生产关系	物质 资料 生产 过程 中 社会关系 包括 生产资料 所有制 形式 生产 中 地位 相互 关系 产品 分配 形式 生产资料 所有制 形式 作用
党群关系	NONE
人际关系	NONE
一面之交	只见 交情 比喻 交情 浅
患难之交	交 交情 朋友 经历 艰难困苦 朋友
沾亲带故	故人 老友 亲戚朋友 关系
有缘	有缘分 机缘
无缘	事物 之间 碰到 可能性 迷信 说法
怪相	怪异 相貌 滑稽 面部 表情
奇形怪状	奇奇怪怪 形状
怪模怪样	形态 奇怪
正多边形	各边 各角 多边形 正多角形
正多角形	NONE
初具规模	规模
彪炳	文彩 焕发 样子
婆娑	形容 盘旋 舞动 样子
紧急状态	NONE
失重	物体 地心 方向 作 加速运动 远离 地球 受 地心引力 减小 重量 现象
相切	NONE
供过于求	供给 数量 超过 数量
排比	修辞 方式 一连串 结构 内容 密切相关 语气 句子 句子成分 用以 增强 语势 内容
排偶	指 文章 词语 文句 排比 对偶
装饰	指 日常生活 中 化妆 打扮
装璜	装饰 物品
万木争翠	NONE
连苍接翠	NONE
婀娜多姿	形容 姿态 柔和 美好
摇曳多姿	形容 摆动 姿态 变化 优美 动人
多彩多姿	NONE
翘足引领	踮 塌 郐 伸长 脖子 形容 盼望 殷切
淡妆	淡雅 妆饰
披发左衽	左衽 衣襟 左 掩 披头散发 衣襟 左开 借指 异族 入侵
淡妆浓抹	NONE
愁容	忧心 发愁 样子 忧愁 表情
愁云	云气 阴霾 暗淡 比喻 忧虑 郁闷 神情 凄凉 情景
苦相	犹 薄命
愁眉苦脸	皱着眉头 哭丧着脸 形容 愁苦 神色
忧容	忧愁 神情
风情万种	意为 流露出来 男女 相爱 感情 用于 女性 男性
大家风范	旧 指有 声望 地位 高门 贵族 风范 风度 气派 出自 高贵 特有 气派
千古风范	NONE
寸有所短	NONE
重义轻利	NONE
追名逐利	追 追求 追求 名和利
切身利益	NONE
既得利益	指 集团 法定 某种 特别 权益
天壤之别	壤 地天 一级 一级 比喻 差别
霄壤之别	天和地 一极 一极 比喻 差别
相去甚远	之间 很大 差异 距离
求异	NONE
三大差别	              国家 中 工农差别 城乡差别 体力劳动 脑力劳动 差别
个别差异	NONE
流通领域	NONE
跨区	NONE
两造	原告 被告 作 两 曹
循环系统	NONE
消化系统	细胞 动物 消化器官 总称 摄取 暂时 贮存 食物 消化吸收 营养物质 排出 废物 功能 体系 从口 肛门 一条 很长 消化管 包括 口腔 咽 食管 胃 小肠 十二指肠 空肠 回肠 大肠 盲肠 结肠 直肠 开口 消化管 各段 消化腺 唾液腺 肝 胰 食物 消化管 物理 化学 作用 营养物质 吸收 食物 残渣 粪便 肛门 排出 体外
神经系统	调节 细胞 动物 生理 活动 身体 内部 外界 环境 变化 神经 装置 神经细胞 脊椎动物 包括 脑脊髓 周围神经 神经节
呼吸系统	动物 体内 外 气体 交换 系统 鼻咽 喉气管 支气管 肺
供电系统	NONE
独资	指由 一方 单独 拿出 资金 办 企业 经营 ㄧ～ 企业
上皮组织	NONE
结缔组织	动物 体内 支持 营养 保护 连接 机能 组织
储油构造	NONE
宏构	宏伟 建筑
动物纤维	来源于 动物 纤维 蚕丝 羊毛
空间结构	指 三维空间 形体 荷载 作用 三维 受力 特性 结构
网络结构	NONE
定中结构	NONE
分子结构	NONE
排行	指 兄弟姐妹 长幼 排列 次序
行	NONE
横排	NONE
排名	NONE
排名榜	NONE
后于	NONE
雁行	NONE
雁阵	NONE
相控阵	NONE
方阵	行数 列数 矩阵
敌阵	敌人 阵地
空间点阵	NONE
晶体点阵	NONE
矩阵	数学 元素 联立 线性方程 系数 一组 矩形 排列 服从 代数 规律
八卦阵	指 一种 八卦 图形 布置 阵式 现 常用 比喻 使人 难以 揣度 事情 情况
背水阵	背水 摆 阵 比喻 处于 死里求生 境地
点阵	点 物体 规则 几何 排列
事关全局	NONE
句子成分	句子 组成部分 包括 主语 谓语 宾语 定语 补语 状语 六种
标准电阻	NONE
不成体统	体统 格局 规矩 指 言行 没有规矩 样子
条条框框	视为 固定 变通 条例
经济基础	指 社会 生产关系 总和 上层建筑 基础
关税壁垒	指为 外国 商品 输入 征收 高额 关税 措施
保底	保住 原有 基础
走极端	NONE
升限	NONE
力偶	作用 物体 一对 大小 方向 直线 力 物体
别称	正式 名称 名称
又称	NONE
五讲四美	五讲 讲文明 讲礼貌 讲卫生 讲 秩序 讲道德 四美指 心灵美 语言美 美 环境 美
堪称	堪称 堪 称 称作 称得上 赞叹
职称	           区别 科学技术 人员 等级 称号 工程师 教授 讲师 学院 院士
简称	名称 简化 人民代表大会 简称 人大
通称	称为
统称	总括起来
泛称	一般性 称呼
古称	NONE
憎称	NONE
总称	总 称谓
人称	称呼 江湖人称 飞刀 华
久闻大名	闻 听到 早就 听到 盛名 用作 见面 时 客套话
释名	NONE
种姓	印度 社会 世袭 等级 等级 印度教 制度 划分 制度 上溯 久远 古代 命令 正统 印度 教徒 遵从 社会交往 规则 等级 各有 其名 特别 风俗习惯 成员 职业 种姓 成员 交往
硬撑	硬挺 勉强 支撑
虐	残暴 暴 ～～ 政 暴政
不善言辞	汉语 中 四字 成语 说出 心里话
拾金不昧	金原 指 钱财 现 泛指 贵重物品 昧 隐藏 拾到 东西 隐瞒 据为己有 指 仆人 道德 社会风尚
大轰大嗡	形容 注重 形式 轰轰烈烈 干 工作 脚踏实地 大轰大嗡
博大胸怀	NONE
自知之明	自知 明 看清 事物 能力 指 情况 正确 估计
知人之明	品行 眼力
先见之明	明指 眼力 事先 看清 能力 指对 事物 发展 预见性
冷暖自知	水 冷暖 饮者 佛教 禅宗 用以 比喻 证悟 境界 比喻 学习心得 深浅
一展身手	NONE
能上能下	指 干部 计较 职位 处于 领导岗位 基层 工作 踏踏实实 地干 实行 能上能下 干部 职务 终身制 一项 改革
能歌善舞	指 擅长 唱歌 跳舞 多才多艺
有生力量	原指 军队 中 兵员 马匹 泛指 战斗力 部队
形象思维	NONE
作客思想	NONE
逆反心理	指 某种 宣传 理论 心理 活动 心理
良苦用心	极费 心思 用意 深远
情真意切	指 情意 真切
错爱	谦辞 表示感谢 爱护 培养
有喜有忧	既有 快乐 忧愁
愧悔	惭愧 懊悔 北齐   颜之推 颜氏家训 勉学闻 吾 説初大 惊骇 寻 愧悔 资治通鉴 隋文帝 仁寿 二年 今者 自新之路 永 絶 愧悔 之心 莫见 哀哉 清   蒲松龄 聊斋志异 封三 娘逾年 生乡 果捷 官翰林 投刺 謁   范 公公 愧悔 不见 柳青 狠透铁 妈 好歹 吱声 愧悔 地笑
激荡	受到冲击 动荡
离愁别绪	指 分离 惜别 相思 愁苦 情绪
初恋	NONE
单相思	单恋 男女 间 一方 爱慕 另一方
三角恋爱	指 两个 异性 恋爱 关系
忧愤	忧虑 悲愤 忧虑 愤恨
清心寡欲	清 清净 寡少 欲 欲望 需求 心地 清净 减少 欲念
一厢情愿	指 单方面 愿望 客观 情况 主观 意愿 一相情愿
心动	心脏 跳动
指望	指所 盼望 事物
希望	NONE
盼头	盼望 目标 希望 指望 这年 月 越活 越 盼头
想头	想法 念头
巴望	盼望 希望
望	看往 远处 见眺 张 ～～ 尘 莫及 喻 远远 落后 风捕 影
重托	委托 郑重 委托
无望	希望 破灭
厚望	殷切期望
奢望	过高 难以实现 希望
垂涎	因想 吃 流下 口水 比喻 贪婪 羡慕
可望	希望 盼望
歹意	坏意 恶意
愿望	NONE
希望	NONE
心愿	NONE
意愿	愿望 心愿
誓愿	立誓 时 心愿
愿	乐意 想要 ～～ 意情
意	心思 思 义 味 念 志 既定 目的 自觉 努力 心理 状态 注 ～～ 笔先 言外
意思	思想 心思 年尚 少壮 不专
寄意	NONE
有利可图	图谋 取有 利益 谋求
引黄入晋	引黄入晋 工程 位于 山西 西北部 黄河 干流 万家寨 水库 取水 太原 大同 朔州 三个 能源 基地 供水 总 干线 南 干线 联接 段 北 干线 设计 年 引水 亿立方米 引水 线路 总长 公里 工程 实施 一期 工程 经总 干线 南 干线 联接 段 太原 年 引水 亿立方米 二期工程 经总 干线 北 干线 朔州 同年 引水 亿立方米 最终 太原 年 引水 亿立方米
少怀壮志	NONE
饶有兴致	兴致 看着 物体 或事物 令人 感到 有趣 十分注意
别无二致	指 区分 不出 差别
嗜好	特别 爱好 用于 贬义
爱好	说 爱好 儿指 感情 融洽
喜好	兴趣爱好
癖好	某种事物 特别 爱好
癖	NONE
癖性	NONE
痼癖	长期 养成 不易 改变 嗜好
各有所好	爱好 爱好 指人 爱好 出自 本性 只应 听其自然
了无生趣	一点 生活 情趣 一点 生活 意义
登临意	NONE
预见	科学 规律 预先 料到 事物 变化
偏见	片面 见解 成见
偏	歪 斜 旁 僻 远 锋 书法 指用 毛笔 时 笔锋 斜出 笔势 泛指 做文章 侧面 着手 方法 倚
门户之见	门户 派别 成见 派别 成见
一孔之见	窟窿 里 比喻 狭隘 片面 见解
一隅之见	见见 解偏 见解
一般见识	平常 见识 知识 低 修养 差 争论 说 一般见识
雇佣观点	工作 中 缺乏 主人翁 思想 一分钱 干 一分 消极态度
理性认识	指 概念 判断 推理 阶段 事物 本质 内部联系 感性认识 基础 材料 去粗取精 去伪存真 由此及彼 由表及里 改造 制作 飞跃 升华 高级阶段 深刻 客观事物 指导
感性认识	感觉器官 客观事物 片面 现象 外部 感觉 知觉 表象 感性认识 形式 感性认识 过程 中 低级 阶段 事物 本质 内部联系 感性认识 理性认识 参看 理性认识
赘疣	疣 皮肤 上长 肉瘤
蛇足	画蛇添足 比喻 节外生枝 多此一举
附赘悬疣	附赘 附 生于 皮肤 肉瘤 悬疣 皮肤 突起 瘊子 比喻 多余 无用 东西
牵挂	放心不下 想念 挂念
挡风遮雨	NONE
遮风挡雨	比喻 保护 作用
此路不通	指 方法 途径 行不通
蛟龙	中能 洪水泛滥 一种 龙
蛟	NONE
飞龙	飞 龙 庄子 逍遥游 藐姑射   之山 有神 人居 云气 御 飞龙 而游乎 四海 之外 楚辞 九歌 湘君驾 飞龙 北征 邅 吾 道   洞庭 史记 赵 世家 四年 王梦衣偏 裻 之衣乘 飞龙 上天 清   昭 槤 啸亭续 录 端午 龙舟 画船 簫鼓 飞龙 鷁 首
奴隶社会	一种 社会形态 基本特征 奴隶主 占有 奴隶 生产资料 奴隶 自由 奴隶主 生产 劳动
封建社会	一种 社会形态 奴隶社会 特征 地主 领主 占有 土地 农民 农奴 土地 或全 土地 只能 耕种 地主 领主 土地 绝大部分 产品 地主 领主 剥夺
原始社会	人类 历史 最早 社会 始于 人类 原始群 终于 奴隶制 延续 约 数百万年 之久 又称 原始 共产主义 社会 原始社会 生产资料 公有 劳动 消费 剥削 生产力 低下 郭沫若 中国 古代 社会 研究 导论   商   代都 金石 并用 时代   商   代 社会 石器时代 未开化 原始社会 断言
发达国家	富有 收入 高 国家
发展中国家	指 经济 落后 第三世界 国家
行政区划	NONE
黄种	指   蒙古   人种
蒙古人种	发源 亚洲 一种 种族 人类 种族 种类 著称 包括 亚洲 北部 东部 民族 马来西亚人 爱斯基摩 包括 美洲 印地安人 在内 黄肤 黑 直发 稀少 胳腮胡 矮小 身材 圆头 鼻小而 颧骨 宽 扁 脸 带有 内眦赘 皮 眼睛
有色人种	白种人 人种
府上	名敬 词称 住所 故乡
封建礼教	指 封建社会 规矩 总称 提起 封建礼教 恨之入骨 封建礼教 封建 舒服 封建 一词 意识 封建 古意 分 封建制 马克思 社会 发展 学说 定义 封建制度 封建社会 封建制度 周朝 建立 社会制度 秦 王朝 封建社会 封建制度 中央集权 制 官员 封地 封建 一词 定义 不准 礼教 基础 周末 封建制度 说 封建礼教 说 时代 礼教
核政策	NONE
富民政策	NONE
土政策	指 地方 机关 企事业 单位 制定 政策 作出
鸵鸟政策	指 正视 现实 政策 鸵鸟 追急 时 把头 钻进 沙里 平安无事 秦牧 长街 灯语 １９７９ 年 晨钟 正视 疾病 医治 疾病 承认 痈疽 割除 痈疽 用纸 包火 鸵鸟政策 好处
愚民政策	统治者 统治 实行 处于 无知 蔽塞 状态 政策 鲁迅 介亭 杂文 新 文字 方块 汉字 愚民政策 利器 冰心 三寄小 读者 四人帮 推行 蒙昧主义 愚民政策 文盲 加 流氓 式 人物 当做 青少年 样板
以民为本	以民为本 思想 诞生 春秋战国 时期 民 老百姓 君 以民为本 孟子 说 民 为重 君为 轻 唐朝 以民为本 以人为本 唐太宗 李世民 当了 皇帝 避 皇帝 讳 世 改称 代民 改称 以民为本 成 以人为本 唐朝 变 以民为本 君主 以人为本 人和物
以人为本	NONE
计生	NONE
民族自决	NONE
民族自治	NONE
对外开放	对外开放 指 国家 积极主动 对外 经济交往 指 放宽政策 放开 取消 封锁 国内 市场 国内 投资 场所 保护 政策 发展 开放型 经济 对外开放 中国 一项 基本国策
统一战线	政治 目的 结成 阶级 政党 联盟
少生快富	NONE
全民所有制	全民 所有制 或称 国家 所有制 生产资料 代表 国家所有 制度 公有制 高级 形式
集体所有制	NONE
独资	指由 一方 单独 拿出 资金 办 企业 经营 ㄧ～ 企业
政府部门	NONE
劳动部门	NONE
人事部门	NONE
监管部门	NONE
监察部门	NONE
行政部门	NONE
民政部门	NONE
不顾流俗	NONE
惯于	习惯于 某种 事情 情况
初任	NONE
在任	谓 居官 魏书 王慧龙传   王慧龙   十年 农战 修大著 声绩 古今 小说 陈 御史 巧勘 金钗 钿 廉宪 任一 病 身亡
炒买炒卖	指 转手 买卖 牟利
林化	NONE
日化	日用 化学品 平日 常用 科技 化学 制品 包括 洗发水 沐浴露 护肤 护发 化妆品
仪化	NONE
野外工作	指在 野外 调查 勘探 发掘 工作 活动
田野工作	NONE
挂职	改变 干部 行政 关系 前提 委以 职务 地方 培养 锻炼 一种 临时性 任职
本职工作	做 工作
社会工作	NONE
体力劳动	体力 生产 劳动 诗刊 年 第期 倒车镜 照人 心机 手 一盏灯 前辈 体力劳动 苦变 做 马达 力 无穷
活劳动	NONE
必要劳动	劳动者 家属 生活 付出 一部分 劳动 剩餘 劳动
抽象劳动	具体劳动 对称 撇开 形式 无差别 人类 劳动 即人 脑力 体力 生产 中 耗费 具体劳动 质 量 商品生产 条件 劳动 两重性 商品 价值 体现 相互交换 劳动 社会关系
具体劳动	经济学 名词 抽象劳动 指 形式 目的 创造 价值 劳动 木工 做 家具 纺织工人 纺纱 织布
脑力劳动	精细 目的 训练 心理 活动
一展身手	NONE
我行	犹言
守土有责	指 军人 地方官 保卫 国土 责任
赴宴	参加 宴会
押韵	压韵
君子协定	书面 签字 只以 口头 承诺 交换 函件 订立 协定 书面 条约 同等 效力 用于 国际事务 间 事先 约定 套语 又称 作 绅士协定
上市	指 货物 市场 出售 西红柿 上市
挂牌	指 医生 律师 正式 开业 挂 文字 标志
不变价格	称 可比价格 固定价格 现行 价格 对称 计划 统计 工作 中 计算 时期 年份 商品 价值 指标 固定 期 价格 旨在 消除 价格 变动 影响 各年 之间 经济 发展 速度 我国 年 期间 以年 价格 不变价格
比较价格	不变价格
可比价格	NONE
垄断资本	资本主义 社会 里 垄断组织 控制 社会 生产 操纵 独占市场 攫取 高额 利润 资本
独占资本	资本主义 社会 里 垄断组织 控制 社会 生产 操纵 独占市场 攫取 高额 利润 资本 垄断资本 毛泽东 矛盾论 三两 阶级 矛盾激化 独占 资本 自由 资本 之间 矛盾 发生 参见 垄断资本
可变资本	NONE
不变资本	可变资本 对称 用于 购买 生产资料 资本 厂房 机器设备 固定资本 原料 燃料 流动资本 资本 生产 过程 中 增加 原有 价值 故名
产业资本	投在 物质 生产 部门 工业 农业 运输业 建筑业 资本 购买 阶段 表现 货币资本 生产 阶段 表现 生产 资本 销售 阶段 表现 商品资本 商业资本 借贷资本 特征 生产 剩余价值
官僚资本	官僚 资产阶级 拥有 资本
中低收入	NONE
高中收入	NONE
苛捐杂税	苛 苛刻 繁重 杂 繁杂 指 反动 统治 苛刻 繁重 捐税
苛杂	NONE
提留	总收入 中 按规定 提取 一部分 存留 作
互惠待遇	NONE
提成	总数 中 提取 份额
呆帐	NONE
进项	ì à 音义 进项 ì à
进款	作进 欵 谓 家庭 团体 收入 银钱 二十年 目睹 怪现状 第七 一回 这河泊   广东   独有 官 九未入 进款 了不得 郑观应 盛世 危言 附录 开矿 事略   开平   进 欵 三四万 金 铁路 公司 进项 可增 二十 餘 万两 曹禺 日出 第二幕 黄省 银行 辞 进款 丁玲 阿毛 姑娘 单凭 屋前 一百多 株 桑树 进款 够 可观
